state,date,dcfast_share
AK,2021-10-07,0.10344827586206896
AK,2022-10-07,0.21782178217821782
AK,2023-10-07,0.2807017543859649
AK,2024-10-07,0.29927007299270075
AL,2021-10-07,0.14954682779456194
AL,2022-10-07,0.25030674846625767
AL,2023-10-07,0.2965853658536585
AL,2024-10-07,0.38483547925608014
AR,2021-10-07,0.15
AR,2022-10-07,0.1381118881118881
AR,2023-10-07,0.13373493975903614
AR,2024-10-07,0.1671858774662513
AZ,2021-10-07,0.20038816108685104
AZ,2022-10-07,0.2094200077851304
AZ,2023-10-07,0.2754893368390301
AZ,2024-10-07,0.26621816434406537
CA,2021-10-07,0.1577486622993449
CA,2022-10-07,0.1839800031526561
CA,2023-10-07,0.20213146697419176
CA,2024-10-07,0.22979980083101542
CO,2021-10-07,0.13359477124183006
CO,2022-10-07,0.16081540203850508
CO,2023-10-07,0.16214272874348373
CO,2024-10-07,0.17781690140845072
CT,2021-10-07,0.20985010706638116
CT,2022-10-07,0.23051735428945644
CT,2023-10-07,0.1737619461337967
CT,2024-10-07,0.1397903145282077
DC,2021-10-07,0.05055487053020962
DC,2022-10-07,0.04225352112676056
DC,2023-10-07,0.04271356783919598
DC,2024-10-07,0.050974512743628186
DE,2021-10-07,0.3079584775086505
DE,2022-10-07,0.30914826498422715
DE,2023-10-07,0.35523613963039014
DE,2024-10-07,0.3627167630057804
FL,2021-10-07,0.17258113436457387
FL,2022-10-07,0.20399338674806053
FL,2023-10-07,0.22138646066273632
FL,2024-10-07,0.24407922461019807
GA,2021-10-07,0.14361972547025928
GA,2022-10-07,0.1779601406799531
GA,2023-10-07,0.19266973763268577
GA,2024-10-07,0.22229551451187335
HI,2021-10-07,0.09975961538461539
HI,2022-10-07,0.09367945823927765
HI,2023-10-07,0.08004268943436499
HI,2024-10-07,0.10890151515151515
IA,2021-10-07,0.28390596745027125
IA,2022-10-07,0.34310850439882695
IA,2023-10-07,0.344180225281602
IA,2024-10-07,0.3715415019762846
ID,2021-10-07,0.23323615160349853
ID,2022-10-07,0.22702702702702704
ID,2023-10-07,0.2384937238493724
ID,2024-10-07,0.28524046434494194
IL,2021-10-07,0.172782874617737
IL,2022-10-07,0.22128945601074546
IL,2023-10-07,0.2668371696504689
IL,2024-10-07,0.2799227799227799
IN,2021-10-07,0.2639040348964013
IN,2022-10-07,0.3061032863849765
IN,2023-10-07,0.31420573827851644
IN,2024-10-07,0.375
KS,2021-10-07,0.10891089108910891
KS,2022-10-07,0.1337099811676083
KS,2023-10-07,0.17555373256767842
KS,2024-10-07,0.1829916476841306
KY,2021-10-07,0.1939252336448598
KY,2022-10-07,0.17398373983739837
KY,2023-10-07,0.2291139240506329
KY,2024-10-07,0.28365878725590954
LA,2021-10-07,0.21038961038961038
LA,2022-10-07,0.2585812356979405
LA,2023-10-07,0.30914368650217705
LA,2024-10-07,0.35185185185185186
MA,2021-10-07,0.08525033829499323
MA,2022-10-07,0.10166425470332852
MA,2023-10-07,0.09562607204116638
MA,2024-10-07,0.11180540058022763
MD,2021-10-07,0.15927295132470734
MD,2022-10-07,0.17670783967733805
MD,2023-10-07,0.17053206002728513
MD,2024-10-07,0.186067335243553
ME,2021-10-07,0.21635434412265758
ME,2022-10-07,0.19837587006960558
ME,2023-10-07,0.20881226053639848
ME,2024-10-07,0.21422594142259413
MI,2021-10-07,0.21945701357466063
MI,2022-10-07,0.1911484166348722
MI,2023-10-07,0.20446210268948656
MI,2024-10-07,0.2392730943967693
MN,2021-10-07,0.15419161676646706
MN,2022-10-07,0.18345563709139426
MN,2023-10-07,0.20326864147088866
MN,2024-10-07,0.26774595267745954
MO,2021-10-07,0.10103383458646617
MO,2022-10-07,0.12616614837849843
MO,2023-10-07,0.13849056603773585
MO,2024-10-07,0.1853968253968254
MS,2021-10-07,0.16359447004608296
MS,2022-10-07,0.1902654867256637
MS,2023-10-07,0.20433996383363473
MS,2024-10-07,0.24222585924713586
MT,2021-10-07,0.49038461538461536
MT,2022-10-07,0.4365079365079365
MT,2023-10-07,0.4539877300613497
MT,2024-10-07,0.514018691588785
NC,2021-10-07,0.16272965879265092
NC,2022-10-07,0.22119078104993598
NC,2023-10-07,0.23990975181749813
NC,2024-10-07,0.25177372962607864
ND,2021-10-07,0.4357142857142857
ND,2022-10-07,0.3609467455621302
ND,2023-10-07,0.37435897435897436
ND,2024-10-07,0.4262295081967213
NE,2021-10-07,0.21022727272727273
NE,2022-10-07,0.23516483516483516
NE,2023-10-07,0.26618705035971224
NE,2024-10-07,0.3146067415730337
NH,2021-10-07,0.2672672672672673
NH,2022-10-07,0.30434782608695654
NH,2023-10-07,0.3024054982817869
NH,2024-10-07,0.3342579750346741
NJ,2021-10-07,0.26172076249356
NJ,2022-10-07,0.26871552403467297
NJ,2023-10-07,0.26852846401718583
NJ,2024-10-07,0.27124250568534214
NM,2021-10-07,0.29017857142857145
NM,2022-10-07,0.29775280898876405
NM,2023-10-07,0.3004418262150221
NM,2024-10-07,0.3955135773317591
NV,2021-10-07,0.23182861514919664
NV,2022-10-07,0.2340823970037453
NV,2023-10-07,0.2841726618705036
NV,2024-10-07,0.35357290375877737
NY,2021-10-07,0.10579651398459668
NY,2022-10-07,0.11408274132887589
NY,2023-10-07,0.11877629733520337
NY,2024-10-07,0.1091026091026091
OH,2021-10-07,0.16309639727361247
OH,2022-10-07,0.16363636363636364
OH,2023-10-07,0.18946188340807174
OH,2024-10-07,0.23101337565177965
OK,2021-10-07,0.6259541984732825
OK,2022-10-07,0.5757575757575758
OK,2023-10-07,0.5147478591817317
OK,2024-10-07,0.6113776559287183
OR,2021-10-07,0.17249897076986415
OR,2022-10-07,0.1964
