state,date,ports_per_100k
AK,2021-10-07,11.862460901601569
AK,2022-10-07,13.771362655882282
AK,2023-10-07,15.543914284857227
AK,2024-10-07,18.679967166889828
AL,2021-10-07,13.046144726283211
AL,2022-10-07,16.061341317100933
AL,2023-10-07,20.199846441752708
AL,2024-10-07,27.550619829824672
AR,2021-10-07,14.44689567404126
AR,2022-10-07,18.78096437625364
AR,2023-10-07,27.252098657850556
AR,2024-10-07,31.619001213867573
AZ,2021-10-07,28.00577291245227
AZ,2022-10-07,34.90869995734589
AZ,2023-10-07,46.51322691864343
AZ,2024-10-07,56.555083387494584
CA,2021-10-07,102.64032312120204
CA,2022-10-07,113.9658155934195
CA,2023-10-07,129.07417140215372
CA,2024-10-07,149.47186326011527
CO,2021-10-07,64.90053505188818
CO,2022-10-07,74.91133653701604
CO,2023-10-07,94.38998078265465
CO,2024-10-07,106.01269098148953
CT,2021-10-07,38.63543291126674
CT,2022-10-07,42.11013993968901
CT,2023-10-07,63.48234586847682
CT,2024-10-07,110.47362187190188
DC,2021-10-07,120.71991342700167
DC,2022-10-07,137.39146743911533
DC,2023-10-07,177.73067402199752
DC,2024-10-07,198.57011653713963
DE,2021-10-07,27.922462509987835
DE,2022-10-07,30.627752995384583
DE,2023-10-07,47.05273094243625
DE,2024-10-07,66.85932199623385
FL,2021-10-07,29.44930996211561
FL,2022-10-07,35.11676133335078
FL,2023-10-07,43.937262876447285
FL,2024-10-07,52.990000409539235
GA,2021-10-07,35.669585395018444
GA,2022-10-07,38.67076301722259
GA,2023-10-07,45.27154038569576
GA,2024-10-07,54.982299398930316
HI,2021-10-07,57.76995476307028
HI,2022-10-07,61.519447019327245
HI,2023-10-07,65.0606341502366
HI,2024-10-07,73.32340412235843
IA,2021-10-07,17.278458449056824
IA,2022-10-07,21.309057255437168
IA,2023-10-07,24.964716637968177
IA,2024-10-07,31.61989141129386
ID,2021-10-07,17.457896186085904
ID,2022-10-07,18.832132912104328
ID,2023-10-07,24.329079816178027
ID,2024-10-07,30.691286881078135
IL,2021-10-07,20.79155417821223
IL,2022-10-07,23.668672913882272
IL,2023-10-07,27.968455333764847
IL,2024-10-07,32.93585646579185
IN,2021-10-07,13.323834712962901
IN,2022-10-07,15.474246422361492
IN,2023-10-07,20.763096842774246
IN,2024-10-07,27.43227910367934
KS,2021-10-07,34.387075906916564
KS,2022-10-07,36.15749961697564
KS,2023-10-07,41.50281735696168
KS,2024-10-07,44.83938511822686
KY,2021-10-07,9.485163918259163
KY,2022-10-07,13.62938273301258
KY,2023-10-07,17.507662372487705
KY,2024-10-07,21.56323479548169
LA,2021-10-07,8.369226809524658
LA,2022-10-07,9.49961588509682
LA,2023-10-07,14.977655251331143
LA,2024-10-07,18.781849255660532
MA,2021-10-07,62.846789477287345
MA,2022-10-07,78.35296622247282
MA,2023-10-07,99.16015768676192
MA,2024-10-07,127.02591955242428
MD,2021-10-07,52.47946049950552
MD,2022-10-07,64.13617369117019
MD,2023-10-07,82.95505601446791
MD,2024-10-07,90.2788993928647
ME,2021-10-07,42.37226962334156
ME,2022-10-07,62.22299218964297
ME,2023-10-07,75.36056130624974
ME,2024-10-07,86.2604126062916
MI,2021-10-07,17.580707679169585
MI,2022-10-07,26.06280250401781
MI,2023-10-07,32.536241813485795
MI,2024-10-07,39.39749085117076
MN,2021-10-07,23.368147675498985
MN,2022-10-07,26.21920162093786
MN,2023-10-07,34.24762960226573
MN,2024-10-07,42.1361285555966
MO,2021-10-07,34.494843442364925
MO,2022-10-07,36.48867132930613
MO,2023-10-07,42.95645447474955
MO,2024-10-07,51.06144588507965
MS,2021-10-07,14.7616336298585
MS,2022-10-07,15.373867282709774
MS,2023-10-07,18.809178334819702
MS,2024-10-07,20.78193121622936
MT,2021-10-07,18.524010412631238
MT,2022-10-07,22.442551076841692
MT,2023-10-07,29.03282401210473
MT,2024-10-07,38.116713733683504
NC,2021-10-07,25.158424020474634
NC,2022-10-07,29.46941006372807
NC,2023-10-07,37.629153887391574
NC,2024-10-07,49.19429368832967
ND,2021-10-07,17.22833075933868
ND,2022-10-07,20.797056416630262
ND,2023-10-07,23.996603557650303
ND,2024-10-07,30.02651932341884
NE,2021-10-07,17.951947939350976
NE,2022-10-07,23.204932705695153
NE,2023-10-07,28.35591776783847
NE,2024-10-07,31.77290785856721
NH,2021-10-07,24.137133711747538
NH,2022-10-07,31.675457753854875
NH,2023-10-07,42.185621081792995
NH,2024-10-07,52.26088109960953
NJ,2021-10-07,20.676777230788307
NJ,2022-10-07,27.03640423067528
NJ,2023-10-07,39.67043709812244
NJ,2024-10-07,51.52682713308761
NM,2021-10-07,21.129882748016716
NM,2022-10-07,25.186065596966355
NM,2023-10-07,32.02497853996284
NM,2024-10-07,39.9486845704691
NV,2021-10-07,41.129445410180466
NV,2022-10-07,50.412679072003904
NV,2023-10-07,61.23787357935057
NV,2024-10-07,76.18545320432051
NY,2021-10-07,37.97071099117408
NY,2022-10-07,49.108991434605905
NY,2023-10-07,58.52855978750357
NY,2024-10-07,87.70049097191321
OH,2021-10-07,17.536770227242904
OH,2022-10-07,23.009540293290957
OH,2023-10-07,30.463094533010068
OH,2024-10-07,37.660512888202746
OK,2021-10-07,26.070948803423057
OK,2022-10-07,27.090900044778348
OK,2023-10-07,26.14557938205881
OK,2024-10-07,36.295338076521226
OR,2021-10-07,57.32483475154675
OR,2022-10-07,59.000447459393534
OR,2023-10-07,74.95416845241354
OR,2024-10-07,93.31510770177681
PA,2021-10-07,20.160787152002197
PA,2022-10-07,25.355017033330423
PA,2023-10-07,33.232152438948305
PA,2024-10-07,40.88311266955339
PR,2021-10-07,0.39833471575907126
PR,2022-10-07,0.6128226396293404
PR,2023-10-07,2.267443766628559
PR,2024-10-07,0.7047460355737414
RI,2021-10-07,56.49025497397609
RI,2022-10-07,70.11007372983764
RI,2023-10-07,79.2508916867917
RI,2024-10-07,91.40817956954061
SC,2021-10-07,15.915288624134558
SC,2022-10-07,19.593822315561887
SC,2023-10-07,24.923942562323933
SC,2024-10-07,32.39361811940595
SD,2021-10-07,16.53388794374997
SD,2022-10-07,19.144501829605233
SD,2023-10-07,24.583280758470355
SD,2024-10-07,30.45716200164469
TN,2021-10-07,23.047851244159514
TN,2022-10-07,24.05239233583252
TN,2023-10-07,30.10793581803035
TN,2024-10-07,37.62077130645804
TX,2021-10-07,17.462777252848806
TX,2022-10-07,20.970469084681636
TX,2023-10-07,29.6146589929601
TX,2024-10-07,36.71230559827287
UT,2021-10-07,52.669931211379264
UT,2022-10-07,55.49726011425906
UT,2023-10-07,67.62271190392912
UT,2024-10-07,79.74816369359917
VA,2021-10-07,34.91758819524496
VA,2022-10-07,42.39338658589904
VA,2023-10-07,51.44906273751831
VA,2024-10-07,62.08461665010276
VT,2021-10-07,131.59032780200906
VT,2022-10-07,137.45937998097193
VT,2023-10-07,154.44874155165382
VT,2024-10-07,185.80183608663958
WA,2021-10-07,54.49465474000253
WA,2022-10-07,58.7783014058441
WA,2023-10-07,76.2078697258402
WA,2024-10-07,90.96977784674934
WI,2021-10-07,15.884493933769468
WI,2022-10-07,18.175526712678522
WI,2023-10-07,23.232769439455556
WI,2024-10-07,29.104601598733584
WV,2021-10-07,16.859228291607693
WV,2022-10-07,21.18794906918264
WV,2023-10-07,24.320575947690827
WV,2024-10-07,27.965814497227626
WY,2021-10-07,31.304772601787814
WY,2022-10-07,34.22884476788887
WY,2023-10-07,42.141040040868205
WY,2024-10-07,48.6772013533294
