make,month,recall_count_12m,recalls_per_10k
CHEVROLET,2020-01-01,1441.0,
CHEVROLET,2021-01-01,8138.0,
CHEVROLET,2022-01-01,8812.0,
CHEVROLET,2023-01-01,9721.0,
CHEVROLET,2024-01-01,10693.0,
CHEVROLET,2025-01-01,11027.0,
FORD,2020-01-01,1329.0,
FORD,2021-01-01,2948.0,
FORD,2022-01-01,4992.0,
FORD,2023-01-01,6154.0,
FORD,2024-01-01,6873.0,
FORD,2025-01-01,7188.0,
GMC,2020-01-01,668.0,
GMC,2021-01-01,5036.0,
GMC,2022-01-01,5516.0,
GMC,2023-01-01,5991.0,
GMC,2024-01-01,6652.0,
GMC,2025-01-01,6963.0,
RIVIAN,2022-01-01,30.0,
RIVIAN,2023-01-01,62.0,
RIVIAN,2024-01-01,112.0,
RIVIAN,2025-01-01,114.0,
TESLA,2020-01-01,6.0,
TESLA,2021-01-01,33.0,
TESLA,2022-01-01,42.0,
TESLA,2023-01-01,71.0,
